Name	Brand	Release_Year	Concentration	Rating_Value	Rating_Count	Main_Accords	Top_Notes	Middle_Notes	Base_Notes	Perfumers
L'Extase Rose Absolue	Nina Ricci	2017	NA	8.3	54	Floral, Sweet, Spicy, Oriental, Powdery	NA	NA	NA	Maïa Lernout
Leylak	Pereja	1984	NA	6.2	508	Aquatic, Fresh, Fruity, Citrus, Floral	Melon, Water lily, Lotus, Citrus notes, Bergamot, Blackcurrant, Pineapple, Quince, Swamp	Water lily, Lotus, Hawthorn, Lily of the valley, May rose, Honey, Jasmine	Musk, Amber, Blackberry, Iris, Peach, Sandalwood, Vanilla, Vetiver, Violet root, Raspberry	Pierre Bourdon
L'Heure Blanche	Guerlain	2020	NA	7.9	65	Fresh, Floral, Creamy, Aquatic, Powdery	Aquatic notes	White blossoms, Milk	White musk, Iris, White amber	Delphine Jelk
L'Heure Bleue Guerlain 1912 Extrait	Guerlain	1912	Extrait	9	147	Floral, Powdery, Spicy, Sweet, Creamy	Aniseed, Bergamot	Carnation, Neroli	Iris, Vanilla, Benzoin, Tonka bean, Violet	Jacques Guerlain
L'Heure de Nuit	Guerlain	2013	NA	8.2	335	Floral, Powdery, Sweet, Spicy, Oriental	Aniseed, Bergamot, Peach	Orange blossom, Jasmine, Rose	Heliotrope, Iris, Vanilla, White musk	Thierry Wasser
L'Homme À la Rose	Maison Francis Kurkdjian	2020	NA	7.1	344	Floral, Fresh, Synthetic, Green, Citrus	NA	NA	NA	Francis Kurkdjian
L'Homme Absolu	Prada	2018	NA	8	75	Spicy, Sweet, Powdery, Fresh, Floral	Bergamot, Mandarin orange	Iris	Cedarwood, Black pepper	Daniela Andrier
L'Homme aux Gants	Parfums MDCI	2019	NA	8	77	Sweet, Woody, Spicy, Resinous, Oriental	Nutmeg	Cypriol, Hedione	Gaiac wood, Tonka bean, Gurjum balsam, Benzoin, Cedar, Patchouli, Oud, Vanilla, Musk	Nathalie Feisthauer
L'Homme Cologne Bleue	Yves Saint Laurent	2018	NA	5.8	146	Fresh, Synthetic, Aquatic, Citrus, Sweet	Black pepper, Mandarin orange, Bergamot, Blood orange, Cardamom, Grapefruit	Lavender, Apple, Geranium, Marine notes, Thyme	Patchouli, Sandalwood, Cedarwood	Juliette Karagueuzoglou
L'Homme Idéal Cologne	Guerlain	2015	NA	8	744	Citrus, Fresh, Sweet, Creamy, Fruity	Grapefruit, Bergamot, Orange	Almond, Neroli	White musk, Indian vetiver	Thierry Wasser
L'Homme Idéal Cool	Guerlain	2019	NA	8	295	Fresh, Green, Aquatic, Citrus, Sweet	Mint, Aniseed, Bergamot, Orange	Almond, Aquatic notes, Neroli	Ambroxan, Vetiver, Patchouli	Thierry Wasser
L'Homme Idéal Extrême	Guerlain	2020	NA	8.3	714	Sweet, Spicy, Fruity, Leathery, Gourmand	Almond, Bergamot, Pink pepper	Cinnamon, Heliotrope, Plum	Tobacco, Leather, Patchouli, Cedar	Thierry Wasser
L'Homme Idéal Guerlain 2014 Eau de Toilette	Guerlain	2014	Eau de Toilette	7.3	852	Sweet, Gourmand, Spicy, Woody, Fruity	Citrus fruits, Orange blossom, Rosemary	Almond, Tonka bean	Cedar, Indian vetiver, Leather	Thierry Wasser
L'Homme Idéal Intense L'Homme Idéal L'Intense	Guerlain	2018	NA	8.1	417	Spicy, Sweet, Woody, Smoky, Leathery	Almond, Cardamom, Chili	Bulgarian rose, Cistus, Leather	Vanilla, Sandalwood, Smoky notes, Patchouli	Thierry Wasser
L'Homme Idéal Parfum	Guerlain	2024	NA	8.5	84	Sweet, Leathery, Creamy, Gourmand, Fruity	NA	NA	NA	Delphine Jelk
L'Homme Idéal Sport	Guerlain	2017	NA	7.3	169	Aquatic, Fresh, Spicy, Citrus, Sweet	Aquatic notes, Almond, Spices	Neroli	Coumarin, Patchouli, Vetiver	Thierry Wasser, Delphine Jelk
L'Homme Lacoste Intense	Lacoste	2018	NA	7.5	237	Fruity, Fresh, Sweet, Spicy, Woody	Mandarin orange, Rhubarb	Black pepper, Ginger	Akigalawood®, Cedar, Cypriol, Vetiver	Michel Girard
L'Homme	Lacoste	2017	NA	7	144	Fruity, Fresh, Citrus, Woody, Spicy	Rhubarb, Mandarin orange, Orange, Quince	Almond, Black pepper, Ginger, Jasmine	Akigalawood®, Amber, Cedarwood, Musk, Vanilla	Michel Girard
L'Homme Le Parfum	Yves Saint Laurent	2020	NA	7	206	Fresh, Synthetic, Spicy, Woody, Sweet	Primofiore lemon, Cardamom, Ozone	Geranium, Basil, Violet leaf	Ambroxan, Cedarwood, Vetiver, Cashmere wood	Anne Flipo, Dominique Ropion, Juliette Karagueuzoglou, IFF (International Flavors & Fragrances)
L'Homme L'Eau	Prada	2017	NA	8.2	724	Powdery, Fresh, Floral, Sweet, Creamy	NA	NA	NA	Daniela Andrier
L'Homme Libre Yves Saint Laurent 2011 Eau de Toilette	Yves Saint Laurent	2011	Eau de Toilette	6.7	196	Fresh, Spicy, Citrus, Synthetic, Woody	Chinese ginger, Lemon zest, Bergamot	Violet leaf, Basil	White pepper	Olivier Polge, Carlos Benaïm
L'Homme L'Intense	Yves Saint Laurent	2013	NA	7.4	407	Sweet, Spicy, Woody, Fruity, Oriental	Italian citron, White pepper, Davana, Bergamot	Orange blossom, Violet leaf	Benzoin Siam, Suede, Cedarwood	Anne Flipo, Dominique Ropion
L'Homme Sport	Yves Saint Laurent	2014	NA	6.2	112	Citrus, Fresh, Woody, Spicy, Synthetic	Aldehydes, Bergamot, Vervain	Cardamom, Elemi resin	Cedar, Amber	Anne Flipo, Juliette Karagueuzoglou
L'Homme Ultime	Yves Saint Laurent	2016	NA	8	421	Fresh, Spicy, Citrus, Woody, Sweet	Ginger, Grapefruit, Cardamom	Rose, Geranium, Clary sage	Cedar, Vetiver	Anne Flipo, Dominique Ropion, Juliette Karagueuzoglou
L'Homme Water Splash	Prada	2019	NA	8.3	208	Fresh, Powdery, Citrus, Floral, Creamy	Mandarin orange leaf, Neroli	Ginger	Sandalwood, Cedarwood	NA
L'Homme Yves Saint Laurent 2022 Eau de Parfum	Yves Saint Laurent	2022	Eau de Parfum	7.5	145	Woody, Synthetic, Spicy, Sweet, Fresh	Bitter orange, Bergamot	Provençal lavender, Geranium	Cedarwood, Vetiver, Oaken barrel	NA
Liaisons Dangereuses Typical Me Kilian 2007 Perfume	Kilian	2007	Perfume	6.8	282	Fruity, Sweet, Floral, Spicy, Gourmand	NA	NA	NA	Calice Becker
Liberté	Cacharel	2007	NA	7.1	144	Fruity, Sweet, Floral, Spicy, Fresh	Bitter orange, Frangipani, Mandarin orange, Bergamot	Cane sugar, Orange, White blossoms	Patchouli, Vanilla, Spices, Vetiver	Domitille Michalon-Bertier, Olivier Polge, Sophie Labbé
Libertine Neroli	Francesca Bianchi	2022	NA	7.9	97	Floral, Chypre, Citrus, Animal, Leathery	Bergamot, Petitgrain	Neroli, Iris, Geranium	Oakmoss, Animalic notes, Labdanum, Benzoin, Leather	Francesca Bianchi
Liberty	The Merchant Of Venice	2015	NA	7.6	72	Leathery, Spicy, Woody, Oriental, Smoky	Saffron, Thyme	Cedarwood, White lily, White suede	Amber, Patchouli, Bourbon vanilla	NA
Library Collection - Opus I	Amouage	2010	NA	7.4	184	Floral, Spicy, Oriental, Woody, Sweet	Cardamom, Plum, Bitter orange	Jasmine, Tuberose, Ylang-ylang, Rose, Lily of the valley	Gaiac wood, Cedar, Frankincense, Papyrus, Sandalwood, Vetiver, Tonka bean	Daniel Maurel
Library Collection - Opus II	Amouage	2010	NA	7.3	107	Spicy, Woody, Fresh, Oriental, Fougère	Absinth, Bay leaf, Lavender, Pink pepper	Cardamom, Cinnamon, Jasmine, Rose	Frankincense, Cedarwood, Patchouli, Amber, Musk	Michele Saramito
Library Collection - Opus III	Amouage	2010	NA	7.3	118	Floral, Spicy, Powdery, Oriental, Woody	Carnation, Mimosa, Nutmeg, Broom, Thyme	Violet, Orange blossom, Jasmine, Ylang-ylang	Ambrette, Benzoin, Cedar, Gaiac wood, Musk, Papyrus, Sandalwood, Vanilla	Karine Vinchon-Spehner
Library Collection - Opus IV	Amouage	2010	NA	7.7	196	Spicy, Resinous, Oriental, Smoky, Woody	Coriander, Grapefruit, Mandarin orange, Lemon	Cumin, Cardamom, Elemi resin, Rose hip, Rose, Violet leaf	Frankincense, Labdanum, Peru balsam, Musk	Jacques Flori
Library Collection - Opus IX	Amouage	2015	NA	7.4	79	Floral, Animal, Spicy, Woody, Leathery	Jasmine, Camellia, Black pepper	Beeswax, Leather, Gaiac wood	Civet, Ambergris, Vetiver	Pierre Negrin, Nathalie Lorson
Library Collection - Opus VI	Amouage	2012	NA	8.1	242	Spicy, Oriental, Woody, Resinous, Smoky	Frankincense, Laurel, Pepper	Patchouli, Nagarmotha	Ambranum, Sandalwood, Gum rockrose	NA
Library Collection - Opus VIII	Amouage	2014	NA	7.7	110	Floral, Spicy, Woody, Oriental, Resinous	Indian jasmine sambac, Comorian ylang-ylang, Morrocan orange blossom	Gaiac wood, Saffron, Frankincense, Ginger, Vetiver	Balsam, Benzoin, Bay rum	Pierre Negrin, Richard Herpin
Library Collection - Opus X	Amouage	2016	NA	7.3	71	Floral, Spicy, Synthetic, Woody, Leathery	Rose oxide, Rosebud, Rosa centifolia, Rose	Geranium, Varnish, Leather	Metallic notes, Laotian oud, Ambrarome, Ylang-ylang	NA
Library Collection - Opus XI	Amouage	2018	NA	8.4	63	Woody, Leathery, Spicy, Oriental, Resinous	Marjoram	Oud	Woodleather®, Styrax	Pierre Negrin
Libre L'Absolu Platine	Yves Saint Laurent	2023	NA	7.1	186	Floral, Sweet, Fresh, Spicy, Synthetic	White lavender, Calabrian bergamot, Calabrian mandarin orange	French lavender, Provençal lavender, Morrocan orange blossom	Ambergris, Bourbon vanilla, Heliotrope	Anne Flipo, Carlos Benaïm
Libre Yves Saint Laurent 2021 Eau de Toilette	Yves Saint Laurent	2021	Eau de Toilette	7.4	168	Floral, Sweet, Fresh, Synthetic, Spicy	French lavender, Mandarin orange, Bergamot	Jasmine absolute, Jasmine tea, Moroccan orange blossom absolute	Ambergris, Musk, Vanilla	Anne Flipo, Carlos Benaïm
Life Essence Fendi 1996 Eau de Toilette	Fendi	1996	Eau de Toilette	8	52	Woody, Spicy, Fresh, Green, Floral	Bergamot, Cardamom, Cedar, Geranium	Laurel, Coriander	Olive wood, Cypress wood, Oakmoss, Labdanum	NA
Ligea La Sirena Carthusia 2018 Eau de Parfum	Carthusia	2018	Eau de Parfum	7.9	83	Powdery, Spicy, Citrus, Floral, Sweet	Lavender, Bergamot, Mandarin orange, Orange, Frankincense, Lemon	Geranium, Clove, Lemon grass, Patchouli	Benzoin, Vanilla, Tobacco flower, White musk	Laura Bosetti Tonatto
Ligea La Sirena Carthusia Eau de Toilette	Carthusia	NA	Eau de Toilette	7.5	152	Powdery, Floral, Spicy, Sweet, Citrus	Lavender, Bergamot, Mandarin orange, Orange, Frankincense, Lemon	Geranium, Clove, Lemon grass, Patchouli	Benzoin, Vanilla, Tobacco flower, White musk	Laura Bosetti Tonatto
Light Blue Dreaming in Portofino	Dolce & Gabbana	2012	NA	5.9	65	Fresh, Floral, Aquatic, Sweet, Synthetic	Ambrette seed, Lychee	Osmanthus, Iris	Amber, Musk, Patchouli	NA
Light Blue Forever	Dolce & Gabbana	2021	NA	7.3	108	Fresh, Citrus, Floral, Woody, Fruity	Calabrian lemon, Granny Smith apple	Orange blossom, White blossoms	White musk, Cashmere wood, Virginia cedar	Olivier Cresp
Light Blue Italian Love	Dolce & Gabbana	2022	NA	7.8	54	Citrus, Fresh, Fruity, Sweet, Floral	Granny Smith apple, Calabrian lemon	Jasmine sambac, White rose, Ambrette	Caribbean sandalwood, White musk, Amber, Virginia cedar	NA
Light Blue Italian Zest	Dolce & Gabbana	2018	NA	7.5	61	Citrus, Fresh, Fruity, Floral, Sweet	Primofiore lemon, Granny Smith apple	Bamboo, Jasmine, White rose	Cedarwood, Musk, Amber	Olivier Cresp
Light Blue pour Homme Dolce & Gabbana 2007 Eau de Toilette	Dolce & Gabbana	2007	Eau de Toilette	6.7	508	Citrus, Fresh, Aquatic, Woody, Synthetic	Grapefruit zest, Bergamot, Sicilian mandarin orange, Juniper	Sichuan pepper, Rosewood, Rosemary	Frankincense, Oakmoss	Alberto Morillas
Light Blue pour Homme Forever	Dolce & Gabbana	2021	NA	8	849	Citrus, Fresh, Fruity, Aquatic, Sweet	Grapefruit zest, Italian bergamot	Ozonic notes, Violet leaf	White musk, Java vetiver, Patchouli	Shyamala Maisondieu, Roxanne Kirkpatrick, Quentin Bisch, Givaudan
Light Blue pour Homme Italian Love	Dolce & Gabbana	2022	NA	8.3	329	Citrus, Fresh, Fruity, Aquatic, Green	Grapefruit, Italian bergamot	Green notes, Ozonic notes, Violet leaf	Gaiac wood, Musk, Patchouli, Vetiver	NA
Light Blue pour Homme Summer Vibes	Dolce & Gabbana	2023	NA	6.6	136	Fresh, Citrus, Woody, Synthetic, Aquatic	Sicilian lemon	Cypress	Amberwood	Alberto Morillas
Light Blue pour Homme Sun	Dolce & Gabbana	2019	NA	7.3	121	Fresh, Aquatic, Citrus, Fruity, Woody	Ozonic notes, Ginger, Grapefruit, Italian bergamot	Cypress, Cedarwood, Coconut water, Rosemary	Oakmoss, Vetiver, White musk, Vanilla	Alberto Morillas
Light Blue Sun	Dolce & Gabbana	2019	NA	7.4	104	Fresh, Citrus, Sweet, Fruity, Creamy	Granny Smith apple, Coconut water, Italian lemon, Ozonic notes	Frangipani, Jasmine, White rose	Bourbon vanilla, White musk, Cedarwood, Amber	Olivier Cresp
Light Blue Sunset in Salina	Dolce & Gabbana	2015	NA	6.5	57	Floral, Citrus, Fresh, Woody, Sweet	Grape leaf, Violet leaf	Orange blossom, Yellow freesia, Jasmine	Cedarwood, White musk, Amber	NA
Light di Gioia	Giorgio Armani	2019	NA	7	72	Floral, Fresh, Sweet, Citrus, Fruity	Jasmine absolute, Bergamot	Gardenia	Precious woods	NA
Light My Fire	Kilian	2014	NA	7.2	78	Sweet, Spicy, Woody, Powdery, Smoky	NA	NA	NA	Sidonie Lancesseur
Like a Day in a Candy Shop	essence	2012	NA	6.8	132	Sweet, Gourmand, Powdery, Floral, Synthetic	Orchid, Peach	Heliotrope, Lilac, Jasmine	Vanilla, Musk, Tonka bean	NA
Like a First Day in Spring	essence	2012	NA	6.2	68	Floral, Fresh, Fruity, Sweet, Citrus	Mandarin orange, Pineapple, Orange juice	Blackberry, Rose, Praliné	Musk, Vanilla, Sandalwood	NA
Like This Like This - Tilda Swinton	Etat Libre d'Orange	2010	NA	7	281	Spicy, Floral, Sweet, Fruity, Gourmand	Pumpkin, Ginger, Mandarin orange	Immortelle, Neroli, Rose	Heliotrope, Musk, Vetiver	Mathilde Bijaoui
Lil Fleur	Byredo	2020	NA	6.2	116	Floral, Synthetic, Leathery, Fruity, Woody	Mandarin orange, Blackcurrant, Saffron	Damask rose, Leather	Ambergris, Blond woods, Vanilla	Jérôme Epinette, Robertet
Lilac	Roja Parfums	2013	NA	8.1	99	Floral, Fresh, Powdery, Spicy, Creamy	Bergamot	Heliotrope, Orange blossom, Ylang-ylang, Jasmine, Violet, Peach, Rose	Benzoin, Iris, Vanilla, Amyris, Cedarwood, Cinnamon, Ginger, Peru balsam, Sandalwood, Clove, Oakmoss, Patchouli	Roja Dove
Lili Fantasy	Juliette Has A Gun	2021	NA	6.1	98	Floral, Sweet, Synthetic, Fruity, Resinous	Chewing gum	Tuberose absolute, Jasmine absolute	Ambroxan, Amber	Romano Ricci
Lillà Lillà	L'Erbolario	2017	NA	7.4	55	Floral, Sweet, Fruity, Spicy, Powdery	Neroli, Orange, Cardamom, Peach, Bergamot	Lilac absolute, Jasminum auriculatum, Tonka bean, Violet, Labdanum	Amber, Vanilla, Cedar, Patchouli, White musk	NA
Lillipur	Tiziana Terenzi	2013	NA	7.7	395	Spicy, Woody, Smoky, Oriental, Sweet	Omani frankincense, Star anise, Roman wormwood, Lemon	Ceylon cinnamon, Carnation, Sichuan pepper, Cyclamen, Galbanum, Thyme	Blond tobacco, Cashmere wood, Amber, Benzoin, Birch, Lebanon cedar, Patchouli, Tonka bean, White musk	Paolo Terenzi
Lily & Spice Penhaligon's 2006 Eau de Parfum	Penhaligon's	2006	Eau de Parfum	7.3	84	Floral, Spicy, Sweet, Oriental, Green	White lily, Saffron	Clove, Pepper	Benzoin, Patchouli, Vanilla, White musk	Mathilde Bijaoui
Lily Beach	Jacques Zolty	2009	NA	7.4	53	Floral, Green, Fresh, Woody, Aquatic	Cardamom, Carnation, Ivy	Lily	Lebanon cedar, Musk	NA
Lily of the Valley	Floris	1765	NA	7.6	72	Floral, Green, Fresh, Citrus, Powdery	Green notes, Lemon	Lily of the valley, Jasmine, Rose, Tuberose	Musk	NA
Lily of the Valley Penhaligon's 1976 Eau de Toilette	Penhaligon's	1976	Eau de Toilette	7.6	213	Floral, Fresh, Green, Citrus, Woody	Geranium, Bergamot, Lemon	Lily of the valley, Jasmine, Rose, Ylang-ylang	Oakmoss, Sandalwood	Michael Pickthall
Lily Roja Parfums 1999 Parfum	Roja Parfums	1999	Parfum	7.4	61	Woody, Floral, Leathery, Spicy, Smoky	Absinth, Coriander, Pink pepper	Myrrh, Orange blossom, Rum, Odor	Oaken barrel, Leather, Vanilla, Patchouli, Vetiver	NA
Lily Soft Musk	Avon	2001	NA	7.6	51	Floral, Woody, Green, Fresh, Spicy	Green tea	Violet, Jasmine	Hinoki wood, Vanilla, Rancidness	NA
Lilylang	Sylvaine Delacourte	2016	NA	7.4	189	Floral, Creamy, Sweet, Powdery, Fresh	Lime zest, Italian mandarin orange, La Réunion pink pepper, Bergamot	Egyptian jasmine absolute, Madagascan ylang-ylang, Tuberose	Musk	Sylvaine Delacourte
Lime Basil & Mandarin Jo Malone 1991 Cologne	Jo Malone	1991	Cologne	7.1	280	Citrus, Fresh, Green, Spicy, Fruity	Lime, Mandarin orange, Bergamot	Basil, White thyme, Iris, Lilac	Vetiver, Amberwood, Patchouli	Lucien Piquet
Limes	Floris	1806	NA	7.7	67	Citrus, Fresh, Green, Floral, Sweet	Lemon, Petitgrain	Linden blossom, Lily of the valley, Neroli	Musk	Juan Famenias Floris
Limited Collection - 71 2022 Edition	Widian / AJ Arabia	2022	NA	9.1	107	Woody, Oriental, Spicy, Smoky, Sweet	Bergamot, Coriander, Nutmeg	Smoke, Oud, Ambergris, Patchouli	Frankincense, White musk, Amber	Jordi Fernández
Limited Edition - 71 2018 Edition	Widian / AJ Arabia	2018	NA	8.2	57	Spicy, Sweet, Oriental, Woody, Synthetic	Lavender, Sage, Bergamot	Akigalawood®, Cashmeran, Laurel, Amber	Oud, Patchouli, Amber, Vetiver	Jordi Fernández
L'Immensité	Louis Vuitton	2018	NA	8	909	Fresh, Citrus, Spicy, Aquatic, Woody	NA	NA	NA	Jacques Cavallier-Belletrud
Limone	Laboratorio Olfattivo	2021	NA	7.6	81	Citrus, Fresh, Green, Fruity, Woody	NA	NA	NA	Jean-Claude Ellena
Lin Blanc	Jeanne en Provence	2023	NA	6.9	63	Fresh, Floral, Powdery, Synthetic, Creamy	Pear, White blossoms	Cotton flower, Iris, Lavender	Musk, Vanilla, White woods	NA
Lince	Tiziana Terenzi	2018	NA	7.8	130	Sweet, Floral, Powdery, Fruity, Creamy	Star anise, Absinth, Grapefruit, Green tea, Sicilian bergamot, Sicilian orange	Bulgarian rose, Fig, Orange blossom, Iris, Jasmine absolute	Vanilla, Heliotrope, Ambergris, Vanilla blossom, Musk, Indian sandalwood	Paolo Terenzi
L'incendiaire	Serge Lutens	2014	NA	8	67	Smoky, Woody, Resinous, Spicy, Oriental	NA	NA	NA	NA
L'Incroyable Patchouli	Réminiscence	2010	NA	8	118	Earthy, Woody, Spicy, Oriental, Resinous	NA	NA	NA	NA
Lindenblüte	Parfum-Individual Harry Lehmann	NA	NA	8	158	Floral, Sweet, Green, Fresh, Spicy	NA	NA	NA	NA
Lineage	Amouage	2023	NA	7.3	137	Spicy, Green, Fresh, Aquatic, Resinous	Ginger, Peruvian pepper tree, Sichuan pepper, Saffron	Frankincense, Fenugreek, Myrrh	Frankincense, Labdanum, Myrrh, Patchouli, Benzoin, Vetiver	Karine Vinchon-Spehner
L'Initial	Guerlain	2020	NA	8.3	149	Powdery, Floral, Sweet, Oriental, Spicy	Orange, Bergamot, Jasmine	Iris pallida, Turkish rose absolute	Caramel, White musk, Vanilla, Patchouli, Tonka bean	Thierry Wasser
L'Insomnuit	Robert Piguet	2016	NA	7.9	165	Sweet, Woody, Spicy, Powdery, Resinous	Plum, Fir balsam, Bergamot	Orris absolute, Oud, Orris concrete	Tonka bean absolute, Cedarwood, Cypriol, Sandalwood	NA
L'Insoumis	Lalique	2016	NA	7.4	183	Woody, Spicy, Fougère, Fresh, Green	Basil, Rum, Bergamot	Clary sage, Lavender, Black pepper	Clearwood™, Patchouli, Moss, Haitian vetiver	Fabrice Pellegrin
L'Instant de Guerlain Guerlain 2005 Eau de Toilette	Guerlain	2005	Eau de Toilette	7.9	164	Floral, Fruity, Sweet, Powdery, Fresh	Granny Smith apple, Blackcurrant, Bergamot, Grapefruit	Magnolia, Jasmine, Lily of the valley, Gardenia, Neroli	Ambergris	Maurice Roucel, Symrise
L'Instant de Guerlain pour Homme Guerlain 2004 Eau de Toilette	Guerlain	2004	Eau de Toilette	8.2	841	Woody, Spicy, Citrus, Sweet, Gourmand	Lemon, Star anise, Bergamot, Grapefruit, Jasmine	Cedar, Sandalwood, Tea, Lavender	Cocoa, Patchouli, Musk, Hibiscus seed	Béatrice Piquet
L'Instant Magic Elixir	Guerlain	2009	NA	8.2	77	Floral, Powdery, Sweet, Gourmand, Oriental	NA	NA	NA	NA
L'Interdit Givenchy 1957 Parfum	Givenchy	1957	Parfum	7.5	59	Floral, Powdery, Spicy, Fresh, Green	Aldehydes, Peach, Bergamot, Mandarin orange, Strawberry	Jasmine, Lily of the valley, Narcissus, Ylang-ylang, Iris, Rose	Cistus, Musk, Amber, Sandalwood, Tonka bean, Benzoin, Vetiver	Francis Fabron
L'Interdit Givenchy 2019 Eau de Toilette	Givenchy	2019	Eau de Toilette	7.2	109	Floral, Sweet, Fruity, Fresh, Powdery	Poppy	Tuberose, Orange blossom	Vetiver, Patchouli	Dominique Ropion, Anne Flipo, Fanny Bal
L'Interdit Givenchy 2020 Eau de Parfum Intense	Givenchy	2020	Eau de Parfum Intense	8.2	344	Sweet, Floral, Spicy, Creamy, Oriental	Black pepper	Orange blossom, Tuberose	Bourbon vanilla, Roasted sesame absolute, Patchouli, Leather, Vetiver	Dominique Ropion, Anne Flipo, Fanny Bal
L'Interdit Givenchy 2022 Eau de Toilette	Givenchy	2022	Eau de Toilette	7.8	69	Floral, Sweet, Fruity, Creamy, Fresh	Bergamot, Ivory Coast bitter orange, Orange, Mandarin orange	Indian tuberose absolute, Jasminum auriculatum absolute, Tunisian orange blossom	Musk, Indonesian patchouli, Sandalwood, Cistus, Haitian vetiver	Anne Flipo, Dominique Ropion, Fanny Bal
L'Interdit Givenchy 2023 Eau de Parfum Rouge Ultime	Givenchy	2023	Eau de Parfum Rouge Ultime	7.9	150	Floral, Sweet, Creamy, Spicy, Woody	Indian jasmine sambac absolute, Tunisian neroli, Tunisian orange blossom absolute	Indian tuberose absolute, Madagascan cocoa shell	Indonesian patchouli, Ambroxan, Haitian vetiver	Fanny Bal, Dominique Ropion, Anne Flipo, IFF (International Flavors & Fragrances)
Lippizan	Parfums de Marly	2010	NA	7.2	65	Spicy, Woody, Chypre, Green, Leathery	Clary sage, Tarragon, Bergamot, Thyme, Cardamom, Lemon	Cedarwood, Galbanum, Jasmine, Patchouli, Vetiver, Iris, Rose	Leather, Moss, Amber, Musk, Vanilla	Sidonie Lancesseur
Lipstick Fever	Juliette Has A Gun	2020	NA	6.9	180	Fruity, Powdery, Sweet, Synthetic, Woody	Raspberry, Violet absolute	Orris absolute, Patchouli, Cedar	Vanilla absolute	Romano Ricci
Lipstick Rose	Editions de Parfums Frédéric Malle	2000	NA	7.5	362	Floral, Powdery, Sweet, Creamy, Fruity	Violet, Grapefruit	Rose, Iris, Raspberry	Vanilla, White musk	Ralf Schwieger
Liqueur Charnelle	Pierre Guillaume	2014	NA	7.4	110	Spicy, Woody, Sweet, Fruity, Oriental	NA	NA	NA	Pierre Guillaume
Liquid Illusion	Juliette Has A Gun	2018	NA	7.5	142	Powdery, Sweet, Floral, Creamy, Synthetic	Almond, Heliotropin	Orris absolute, Orris root, Tuberose	Benzoin Siam, Tonka bean	Romano Ricci
Liquide	Liquides Imaginaires	2022	NA	8.5	210	Sweet, Spicy, Creamy, Fruity, Floral	Mandarin orange, Saffron	Solar note, Orange blossom, Carrot seed, Coriander seed, Jasmine	Patchouli, Ambrofix, Georgywood®, Vanilla, Cistus, White musk	Nisrine Bouazzaoui Grillié, Givaudan
Liquidnight	What We Do Is Secret / A Lab on Fire	2012	NA	7.7	147	Woody, Spicy, Smoky, Sweet, Resinous	Saffron, Bergamot, Lime	Hinoki wood, Lavender, Sage	Frankincense, Musk, Vanilla	Carlos Benaïm
L'Iris	Santa Maria Novella	2022	NA	7.5	89	Floral, Powdery, Fresh, Green, Spicy	Neroli, Galbanum, Nepalese sichuan pepper	Jasmine sambac, Champaca flower, Geranium	Florentine iris, Musk, Ambergris	Gian Luca Perris Vice President [Perris Monte Carlo]
Lisboa	Zara	NA	NA	7.4	124	Fresh, Citrus, Aquatic, Floral, Fruity	NA	NA	NA	NA
LiTA	Bogue	2020	NA	7.7	112	Smoky, Spicy, Woody, Resinous, Floral	Bergamot, Coriander seed, Sandalwood, Ylang-ylang, Gardenia, Grapefruit	Tobacco, Patchouli, Champaca flower, Cypress, Jasmine	Frankincense, Myrrh, Benzoin, Vanilla, Tonka bean, Vetiver	Antonio Gardoni
Little Black Dress Party	Avon	2015	NA	7	54	Fresh, Woody, Spicy, Sweet, Synthetic	Marine notes, Mandarin orange, Italian lemon, Brine	Clary sage, Lavender, Musk, Woods, Must	Tonka bean, Amber, Disgust	Sonia Constant, Givaudan
Little Italy	Bond No. 9	2004	NA	5	91	Citrus, Fresh, Fruity, Synthetic, Green	NA	NA	NA	Francis Camail
Little Song	Meo Fusciuni	2018	NA	7.9	92	Spicy, Earthy, Woody, Smoky, Floral	Bergamot, Ginger, Pink pepper	Coffee, Liatris spicata, Turkish rose absolute	Tobacco absolute, Bourbon vetiver, Civet, Labdanum absolute, Musk, Sage absolute	Giuseppe Imprezzabile a.k.a. Meo Fusciuni
Little White Dress Avon 2007 Eau de Parfum	Avon	2007	Eau de Parfum	7.7	171	Smoky, Spicy, Resinous, Woody, Earthy	NA	NA	NA	Josh Lobb
Liu Guerlain 1929 Extrait	Guerlain	1929	Extrait	7.9	251	Floral, Powdery, Spicy, Woody, Chypre	Aldehydes	Jasmine, Orange blossom, Ylang-ylang, Rose	Amber, Sandalwood, Vanilla	Jacques Guerlain
Liu•Jo Milano	Liu•Jo	2019	NA	7.9	159	Sweet, Gourmand, Creamy, Fruity, Spicy	Orange, Almond, Mandarin orange	Hazelnut, Cocoa, Orange blossom	Tonka bean, Patchouli, Vanilla, Vetiver	Maïa Lernout
Live in Colours	The House of Oud	2018	NA	7.7	107	Citrus, Fresh, Green, Fruity, Sweet	Red fruits, Lemon, Grapefruit	Ginger, Red pepper	Hinoki cypress, Musk, Amber	Maurizio Cerizza
Live in Love	Oscar de la Renta	2012	NA	7.1	141	Floral, Fresh, Green, Woody, Sweet	Bergamot, Galbanum, Hyacinth	Orange blossom, Jasmine sambac, Rose	Musk, Cedarwood, Sandalwood, Amber, White woods	Carlos Benaïm, Jean-Marc Chaillan, Ann Gottlieb Product developer
